runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	2033	7522	2090.2	190.071	231720	1	200
2	2028	7411	2095.34	202.867	231640	1	200
3	2026	7601	2076.93	170.94	232032	2	200
4	2033	7363	2091.6	190.91	232012	1	200
5	2020	7695	2078.9	215.832	231736	2	200
6	2033	7392	2072.19	149.295	231860	1	200
7	2033	7407	2080.9	166.552	231796	2	200
8	2026	7258	2082.03	182.109	231600	2	200
9	2020	7263	2077.06	200.843	231700	1	200
10	2034	7561	2083.04	177.443	232004	2	200
